## Audio-driven

| Year | Title                                                        | Conference/Journal                                           | Code                                                         | Project                                                      | Keywords                                                     |
| 2025 | [EGSTalker] [EGSTalker: Real-Time Audio-Driven Talking Head Generation with Efficient Gaussian Deformation](http://arxiv.org/abs/2510.08587v1) | IEEE SMC 2025                                                |                                                              |                                                              | Real-Time, Audio-Driven, Gaussian Deformation, Talking Head  |
| 2025 | [AvatarSync] [AvatarSync: Rethinking Talking-Head Animation through Phoneme-Guided Autoregressive Perspective](http://arxiv.org/abs/2509.12052v2) | Arxiv 2025                                                   |                                                              |                                                              | Phoneme-Guided, Autoregressive, Talking-Head Animation       |
| 2025 | [When Words Smile] [When Words Smile: Generating Diverse Emotional Facial Expressions from Text](http://arxiv.org/abs/2412.02508v4) | EMNLP 2025                                                   |                                                              | [Project](https://walkermitty.github.io/EmoAva)              | Text-to-Expression, Emotional Facial Animation, 3D Avatar    |
| 2025 | [Efficient Long-duration Talking Video Synthesis] [Efficient Long-duration Talking Video Synthesis with Linear Diffusion Transformer under Multimodal Guidance](http://arxiv.org/abs/2411.16748v4) | Arxiv 2025                                                   |                                                              |                                                              | Long-duration, Talking Video, Diffusion Transformer, Multimodal |
| 2025 | [PASE] [PASE: Phoneme-Aware Speech Encoder to Improve Lip Sync Accuracy for Talking Head Synthesis](http://arxiv.org/abs/2504.05803v3) | Arxiv 2025                                                   |                                                              |                                                              | Phoneme-Aware, Lip Sync, Talking Head Synthesis              |
| 2025 | [3DiFACE] [3DiFACE: Synthesizing and Editing Holistic 3D Facial Animation](http://arxiv.org/abs/2509.26233v1) | Arxiv 2025                                                   |                                                              | [Project](https://balamuruganthambiraja.github.io/3DiFACE)   | 3D Facial Animation, Diffusion, Editing, Speech-Driven       |
| 2025 | [AudioRTA] [Audio Driven Real-Time Facial Animation for Social Telepresence](http://arxiv.org/abs/2510.01176v1) | SIGGRAPH Asia 2025                                           |                                                              | [Project](https://jiyewise.github.io/projects/AudioRTA)      | Real-Time, VR, Diffusion, Social Telepresence                |
| 2025 | [StableDub] [StableDub: Taming Diffusion Prior for Generalized and Efficient Visual Dubbing](http://arxiv.org/abs/2509.21887v1) | Arxiv 2025                                                   |                                                              | [Project](https://stabledub.github.io)                       | Visual Dubbing, Diffusion, Mamba-Transformer                 |
| 2025 | [KSDiff] [KSDiff: Keyframe-Augmented Speech-Aware Dual-Path Diffusion for Facial Animation](http://arxiv.org/abs/2509.20128v1) | Arxiv 2025                                                   |                                                              |                                                              | Keyframe, Diffusion, Dual-Path, Facial Animation             |
| 2025 | [SynchroRaMa] [SynchroRaMa: Lip-Synchronized and Emotion-Aware Talking Face Generation via Multi-Modal Emotion Embedding](http://arxiv.org/abs/2509.19965v1) | WACV 2026                                                    |                                                              | [Project](https://novicemm.github.io/synchrorama)            | Multi-Modal, Emotion-Aware, LLM                              |
| 2025 | [AU-Landmark] [Talking Head Generation via AU-Guided Landmark Prediction](http://arxiv.org/abs/2509.19749v1) | Arxiv 2025                                                   |                                                              |                                                              | Action Units, Landmark Prediction, Diffusion                 |
| 2025 | [Tiny Voice2Face] [Tiny is not small enough: High-quality, low-resource facial animation models through hybrid knowledge distillation](http://arxiv.org/abs/2507.18352v2) | ACM TOG 2025 (SIGGRAPH)                                      |                                                              | [Project](https://electronicarts.github.io/tiny-voice2face/) | Knowledge Distillation, Low-Resource, Real-Time, 3D          |
| 2025 | [PGSTalker] [PGSTalker: Real-Time Audio-Driven Talking Head Generation via 3D Gaussian Splatting with Pixel-Aware Density Control](http://arxiv.org/abs/2509.16922v1) | ICONIP 2025                                                  |                                                              |                                                              | 3DGS, Real-Time, Pixel-Aware, Audio-Driven                   |
| 2025 | [StyGazeTalk] [Beat on Gaze: Learning Stylized Generation of Gaze and Head Dynamics](http://arxiv.org/abs/2509.17168v1) | Arxiv 2025                                                   |                                                              |                                                              | Gaze Control, Head Motion, Style-Aware, 3D                   |
| 2025 | [EmoCAST] [EmoCAST: Emotional Talking Portrait via Emotive Text Description](http://arxiv.org/abs/2508.20615v1) | Arxiv 2025                                                   |                                                              | [Project](https://github.com/GVCLab/EmoCAST)                 | Emotional Talking Portrait, Text-Driven, Diffusion           |
| 2025 | [UnAvgLip] [Removing Averaging: Personalized Lip-Sync Driven Characters Based on Identity Adapter](http://arxiv.org/abs/2503.06397v2) | Arxiv 2025                                                   |                                                              |                                                              | Personalized Lip-Sync, Identity Preservation, Diffusion      |
| 2025 | [Think2Sing] [Think2Sing: Orchestrating Structured Motion Subtitles 025for Singing-Driven   3D Head Animation](http://arxiv.org/abs/2509.02278v1) | Arxiv 2025                                                   |                                                              |                                                              | Singing-Driven, 3D Head, Diffusion                           |
| 2025 | [InfinityHuman] [InfinityHuman: Towards Long-Term Audio-Driven Human](http://arxiv.org/abs/2508.20210v1) | Arxiv 2025                                                   |                                                              | [Project](https://infinityhuman.github.io/)                  | Long-Term, Hand Motion, Pose-Guided                          |
| 2025 | [MagicTalk] [MagicTalk: Implicit and Explicit Correlation Learning for Diffusion-based Emotional Talking Face Generation](https://iccvm.org/2025/papers/s5p2-162-cvmj.pdf) | CVM 2026                                                     |                                                              |                                                              | Implicit and Explicit Correlation Learning, Emotional Talking Face Generation |
| 2025 | [Audio2Face-3D] [Audio2Face-3D: Audio-driven Realistic Facial Animation For Digital Avatars](https://arxiv.org/pdf/2508.16401) | Arxiv 2025                                                   |                                                              |                                                              | Audio-driven Realistic Facial Animation, Digital Avatars     |
| 2025 | [DisenEmo] [DisenEmo: Learning disentangled emotional representation from facial motion for 3D talking head generation](https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=11084454) | ICIP 2025                                                    |                                                              |                                                              | Disentangled Emotional Representation, 3D Talking Head Generation |
| 2025 | [ExpTalk] [ExpTalk: Diverse Emotional Expression via Adaptive Disentanglement and Refined Alignment for Speech-Driven 3D Facial Animation](https://ijcai-preprints.s3.us-west-1.amazonaws.com/2025/7737.pdf) | IJCAI 2025                                                   |                                                              |                                                              | Adaptive Disentanglement, Refined Alignment, 3D Facial Animation |
| 2025 | [SyncGaussian] [SyncGaussian: Stable 3D Gaussian-Based Talking Head Generation with Enhanced Lip Sync via Discriminative Speech Feature](https://ijcai-preprints.s3.us-west-1.amazonaws.com/2025/850.pdf) | IJCAI 2025                                                   |                                                              |                                                              | Stable 3D Gaussian-Based Talking Head Generation, Enhanced Lip Sync, Discriminative Speech Feature |
| 2025 | [Wan-S2V] [Wan-S2V: Audio-Driven Cinematic Video Generation](http://arxiv.org/abs/2508.18621v1) | Arxiv 2025                                                   |                                                              |                                                              | Cinematic, Audio-Driven, Video Generation                    |
| 2025 | [InfiniteTalk] [InfiniteTalk: Audio-driven Video Generation for Sparse-Frame Video   Dubbing](http://arxiv.org/abs/2508.14033v1) | Arxiv 2025                                                   |                                                              |                                                              | Sparse-Frame Dubbing, Full-Body                              |
| 2025 | [D^3-Talker] [D^3-Talker: Dual-Branch Decoupled Deformation Fields for Few-Shot 3D   Talking Head Synthesis](http://arxiv.org/abs/2508.14449v1) | ECAI 2025                                                    |                                                              |                                                              | Few-Shot, 3DGS, Deformation Fields                           |
| 2025 | [RealTalk] [RealTalk: Realistic Emotion-Aware Lifelike Talking-Head Synthesis](http://arxiv.org/abs/2508.12163v1) | ICCV 2025 Workshop (Artificial Social Intelligence)          |                                                              |                                                              | Emotion, NeRF, VAE                                           |
| 2025 | [FantasyTalking2] [FantasyTalking2: Timestep-Layer Adaptive Preference Optimization for Audio-Driven Portrait Animation](http://arxiv.org/abs/2508.11255v1) | Arxiv 2025                                                   |                                                              | [Project](https://fantasy-amap.github.io/fantasy-talking2/)  | Audio-Driven, Portrait Animation, Preference Optimization    |
| 2025 | [HM-Talker] [HM-Talker: Hybrid Motion Modeling for High-Fidelity Talking Head Synthesis](http://arxiv.org/abs/2508.10566v1) | Arxiv 2025                                                   |                                                              |                                                              | Hybrid Motion, High-Fidelity, Talking Head                   |
| 2025 | [StableAvatar] [StableAvatar: Infinite-Length Audio-Driven Avatar Video Generation](https://arxiv.org/abs/2508.08248) | Arxiv 2025                                                   | [Code](https://github.com/Francis-Rings/StableAvatar)        | [Project](https://francis-rings.github.io/StableAvatar/)     | Stable Diffusion                                             |
| 2025 | [READ] [READ: Real-time and Efficient Asynchronous Diffusion for Audio-driven Talking Head Generation](http://arxiv.org/abs/2508.03457v2) | Arxiv 2025                                                   |                                                              | [Project](https://readportrait.github.io/READ/)              | Real-time, Asynchronous Diffusion, Audio-driven              |
| 2025 | [X-Actor] [X-Actor: Emotional and Expressive Long-Range Portrait Acting from Audio](http://arxiv.org/abs/2508.02944v1) | Arxiv 2025                                                   |                                                              | [Project](https://byteaigc.github.io/X-Actor/)               | Emotional Portrait, Long-range, Audio-driven                 |
| 2025 | [DICE-Talk] [DICE-Talk: Disentangle Identity, Cooperate Emotion: Correlation-Aware Emotional Talking Portrait Generation](http://arxiv.org/abs/2504.18087v2) | ACM MM 2025                                                  |                                                              |                                                              | Emotional Portrait, Identity Preservation, Emotion Cooperation |
| 2025 | [RAP] [RAP: Real-time Audio-driven Portrait Animation with Video Diffusion Transformer](http://arxiv.org/abs/2508.05115v1) | Arxiv 2025                                                   |                                                              |                                                              | Real-time, Video Diffusion Transformer, Audio-driven         |
| 2025 | [UniTalker: Conversational Speech-Visual Synthesis] [UniTalker: Conversational Speech-Visual Synthesis](http://arxiv.org/abs/2508.04585v2) | ACM MM 2025                                                  |                                                              |                                                              | Conversational Speech-Visual, Multimodal, Emotion            |
| 2025 | [M2DAO-Talker] [M2DAO-Talker: Harmonizing Multi-granular Motion Decoupling and Alternating Optimization for Talking-head Generation](http://arxiv.org/abs/2507.08307v3) | Arxiv 2025                                                   |                                                              | [Project](https://m2dao-talker.github.io/M2DAO-Talk.github.io) | Multi-granular Motion, Decoupling, Optimization              |
| 2025 | [Preview WB-DH] [Preview WB-DH: Towards Whole Body Digital Human Bench for the Generation of Whole-body Talking Avatar Videos](http://arxiv.org/abs/2508.08891v1) | ICCV 2025 Workshop MMFM4                                     |                                                              | [Project](https://github.com/deepreasonings/WholeBodyBenchmark) | Whole-Body Avatar, Benchmark Dataset                         |
| 2025 | [MEDTalk] [MEDTalk: Multimodal Controlled 3D Facial Animation with Dynamic Emotions by Disentangled Embedding](http://arxiv.org/abs/2507.06071v4) | Arxiv 2025                                                   | [Code](https://github.com/SJTU-Lucy/MEDTalk)                 |                                                              | Multimodal, 3D Facial Animation, Dynamic Emotions            |
| 2025 | [Think Before You Talk] [Think Before You Talk: Enhancing Meaningful Dialogue Generation in Full-Duplex Speech Language Models with Planning-Inspired Text Guidance](http://arxiv.org/abs/2508.07375v1) | Arxiv 2025                                                   |                                                              | [Project](https://dreamtheater123.github.io/TurnGuide-Demo/) | Dialogue Generation, Speech Language Models, Planning        |
| 2025 | [KLASSify to Verify] [KLASSify to Verify: Audio-Visual Deepfake Detection Using SSL-based Audio and Handcrafted Visual Features](http://arxiv.org/abs/2508.07337v1) | ACM MM 2025                                                  |                                                              |                                                              | Deepfake Detection, Audio-Visual, SSL                        |
| 2025 | [DiTalker] [DiTalker: A Unified DiT-based Framework for High-Quality and Speaking Styles Controllable Portrait Animation](http://arxiv.org/abs/2508.06511v1) | Arxiv 2025                                                   |                                                              | [Project](https://thenameishope.github.io/DiTalker/)         | DiT, Portrait Animation, Speaking Styles                     |
| 2025 | [Learning Phonetic Context-Dependent Viseme] [Learning Phonetic Context-Dependent Viseme for Enhancing Speech-Driven 3D Facial Animation](http://arxiv.org/abs/2507.20568v2) | Interspeech 2025                                             | [Project](https://cau-irislab.github.io/interspeech25/)      |                                                              | Phonetic Context, Viseme, 3D Facial Animation                |
| 2025 | [SpA2V] [SpA2V: Harnessing Spatial Auditory Cues for Audio-driven Spatially-aware Video Generation](http://arxiv.org/abs/2508.00782v1) | ACM MM 2025                                                  |                                                              |                                                              | Spatial Audio, Video Generation, MLLM                        |
| 2025 | [Biometric Verification in Avatar Videos] [Is It Really You? Exploring Biometric Verification Scenarios in Photorealistic Talking-Head Avatar Videos](http://arxiv.org/abs/2508.00748v1) | IEEE IJCB 2025                                               |                                                              |                                                              | Biometric Verification, Avatar Security, Facial Motion       |
| 2025 | [Who is a Better Talker] [Who is a Better Talker: Subjective and Objective Quality Assessment for AI-Generated Talking Heads](http://arxiv.org/abs/2507.23343v1) | Arxiv 2025                                                   |                                                              |                                                              | Quality Assessment, Dataset, THQA-10K                        |
| 2025 | [JWB-DH-V1] [JWB-DH-V1: Benchmark for Joint Whole-Body Talking Avatar and Speech Generation Version 1](http://arxiv.org/abs/2507.20987v2) | WiCV @ ICCV 2025                                             |                                                              | [Project](https://github.com/deepreasonings/WholeBodyBenchmark) | Whole-Body Avatar, Benchmark Dataset                         |
| 2025 | [Mask-Free Audio-driven Talking Face Generation] [Mask-Free Audio-driven Talking Face Generation for Enhanced Visual Quality and Identity Preservation](http://arxiv.org/abs/2507.20953v1) | Arxiv 2025                                                   |                                                              |                                                              | Mask-Free, Identity Preservation, Audio-driven               |
| 2025 | [MemoryTalker] [MemoryTalker: Personalized Speech-Driven 3D Facial Animation via Audio-Guided Stylization](http://arxiv.org/abs/2507.20562v1) | ICCV 2025                                                    |                                                              | [Project](https://cau-irislab.github.io/ICCV25-MemoryTalker/) | Personalized, 3D Facial Animation, Memory                    |
| 2025 | [EchoMimicV3] [EchoMimicV3: 1.3B Parameters are All You Need for Unified Multi-Modal and Multi-Task Human Animation](http://arxiv.org/abs/2507.03905v1) | Arxiv 2025                                                   |                                                              |                                                              | Multi-Modal, Multi-Task, Human Animation                     |
| 2025 | [Real-time Generation of Various Types of Nodding] [Real-time Generation of Various Types of Nodding for Avatar Attentive Listening System](http://arxiv.org/abs/2507.23298v1) | ICMI 2025                                                    | [Code](https://github.com/MaAI-Kyoto/MaAI)                   |                                                              | Real-time, Nodding Generation, Avatar Interaction            |
| 2025 | [MoDA] [MoDA: Multi-modal Diffusion Architecture for Talking Head Generation](http://arxiv.org/abs/2507.03256v3) | Arxiv 2025                                                   |                                                              | [Project](https://lixinyyang.github.io/MoDA.github.io/)      | Multi-modal, Diffusion, Talking Head Generation              |
| 2025 | [GGTalker] [GGTalker: Talking Head Synthesis with Generalizable Gaussian Priors and Identity-Specific Adaptation](http://arxiv.org/abs/2506.21513v2) | ICCV 2025                                                    | [Code](https://github.com/vincenthu19/GGTalker)              | [Project](https://vincenthu19.github.io/GGTalker/)           | 3D Talking Head, Gaussian Priors, Identity Adaptation        |
| 2025 | [FixTalk] [FixTalk: Taming Identity Leakage for High-Quality Talking Head Generation in Extreme Cases](http://arxiv.org/abs/2507.01390v1) | Arxiv 2025                                                   |                                                              |                                                              | Identity Leakage, Extreme Cases                              |
| 2025 | [OmniHuman-1] [OmniHuman-1: Rethinking the Scaling-Up of One-Stage Conditioned Human Animation Models](http://arxiv.org/abs/2502.01061v3) | ICCV 2025                                                    |                                                              |                                                              | Human Animation, Scaling                                     |
| 2025 | [Audio-Plane] [Audio-Plane: Audio Factorization Plane Gaussian Splatting for Real-Time Talking Head Synthesis](http://arxiv.org/abs/2503.22605v2) | Arxiv 2025                                                   |                                                              |                                                              | Audio Factorization, Gaussian Splatting                      |
| 2025 | [FIAG] [Few-Shot Identity Adaptation for 3D Talking Heads via Global Gaussian Field](http://arxiv.org/abs/2506.22044v1) | Arxiv 2025                                                   |                                                              |                                                              | Few-Shot, Global Gaussian Field, 3DGS                        |
| 2025 | [MirrorMe] [MirrorMe: Towards Realtime and High Fidelity Audio-Driven Halfbody Animation](http://arxiv.org/abs/2506.22065v1) | Arxiv 2025                                                   |                                                              |                                                              | Real-time, Half-body Animation                               |
| 2025 | [JAM-Flow] [JAM-Flow: Joint Audio-Motion Synthesis with Flow Matching](http://arxiv.org/abs/2506.23552v1) | Arxiv 2025                                                   |                                                              |                                                              | Flow Matching, Audio-Motion                                  |
| 2025 | [ARTalk] [ARTalk: Speech-Driven 3D Head Animation via Autoregressive Model](http://arxiv.org/abs/2502.20323v4) | Arxiv 2025                                                   |                                                              |                                                              | Autoregressive, FLAME, 3D                                    |
| 2025 | [OmniAvatar] [OmniAvatar: Efficient Audio-Driven Avatar Video Generation with Adaptive Body Animation](http://arxiv.org/abs/2506.18866v1) | Arxiv 2025                                                   |                                                              |                                                              | Audio-Driven, Body Animation                                 |
| 2025 | [Audio-Visual Driven Compression] [Audio-Visual Driven Compression for Low-Bitrate Talking Head Videos](http://arxiv.org/abs/2506.13419v1) | ICMR 2025                                                    |                                                              |                                                              | Compression, Low-Bitrate                                     |
| 2025 | [SyncTalk++] [SyncTalk++: High-Fidelity and Efficient Synchronized Talking Heads Synthesis Using Gaussian Splatting](http://arxiv.org/abs/2506.14742v1) | Arxiv 2025                                                   |                                                              |                                                              | 3DGS, Synchronization                                        |
| 2025 | [Loudspeaker Beamforming] [Loudspeaker Beamforming to Enhance Speech Recognition Performance of Voice Driven Applications](http://arxiv.org/abs/2501.08104v1) | ICASSP 2025                                                  |                                                              |                                                              | Speech Recognition, Beamforming                              |
| 2025 | [AlignHuman] [AlignHuman: Improving Motion and Fidelity via Timestep-Segment Preference Optimization for Audio-Driven Human Animation](http://arxiv.org/abs/2506.11144v1) | Arxiv 2025                                                   |                                                              |                                                              | Preference Optimization, Human Animation                     |
| 2025 | [Controllable Expressive 3D Facial Animation] [Controllable Expressive 3D Facial Animation via Diffusion in a Unified Multimodal Space](http://arxiv.org/abs/2506.10007v1) | ICME 2025                                                    |                                                              |                                                              | 3D, Diffusion, Multimodal                                    |
| 2025 | [PAHA] [A Unit Enhancement and Guidance Framework for Audio-Driven Avatar Video Generation](http://arxiv.org/abs/2505.03603v5) | Arxiv 2025                                                   |                                                              |                                                              | Parts-Aware, Enhancement                                     |
| 2025 | [HunyuanVideo-HOMA] [HunyuanVideo-HOMA: Generic Human-Object Interaction in Multimodal Driven Human Animation](http://arxiv.org/abs/2506.08797v1) | Arxiv 2025                                                   |                                                              |                                                              | Human-Object Interaction, Animation                          |
| 2025 | [EmoVOCA] [EmoVOCA: Speech-Driven Emotional 3D Talking Heads](http://arxiv.org/abs/2403.12886v3) | WACV 2025                                                    |                                                              |                                                              | Emotional, 3D, VOCA                                          |
| 2025 | [LetsTalk] [Efficient Long-duration Talking Video Synthesis with Linear Diffusion Transformer under Multimodal Guidance](http://arxiv.org/abs/2411.16748v2) | Arxiv 2025                                                   |                                                              |                                                              | Long-duration, Linear Diffusion                              |
| 2025 | [Lipschitz-Driven Noise Robustness] [Lipschitz-Driven Noise Robustness in VQ-AE for High-Frequency Texture Repair in ID-Specific Talking Heads](http://arxiv.org/abs/2410.00990v3) | Arxiv 2025                                                   |                                                              |                                                              | Noise Robustness, VQ-AE, High-Frequency                      |
| 2025 | [LLIA] [LLIA -- Enabling Low-Latency Interactive Avatars: Real-Time Audio-Driven Portrait Video Generation with Diffusion Models](http://arxiv.org/abs/2506.05806v1) | Arxiv 2025                                                   |                                                              |                                                              | Low-Latency, Real-Time, Interactive                          |
| 2025 | [Sonic] [Sonic: Shifting Focus to Global Audio Perception in Portrait Animation](http://arxiv.org/abs/2411.16331v3) | CVPR 2025                                                    |                                                              |                                                              | Global Audio Perception, Portrait Animation                  |
| 2025 | [HALT] [High Accuracy, Less Talk (HALT): Reliable LLMs through Capability-Aligned Finetuning](http://arxiv.org/abs/2506.04051v1) | Arxiv 2025                                                   |                                                              |                                                              | LLM, Reliability                                             |
| 2025 | [OmniTalker] [OmniTalker: One-shot Real-time Text-Driven Talking Audio-Video Generation With Multimodal Style Mimicking](http://arxiv.org/abs/2504.02433v1) | Arxiv 2025                                                   |                                                              |                                                              | Text-Driven, Multimodal Style                                |
| 2025 | [Silencer] [Silence is Golden: Leveraging Adversarial Examples to Nullify Audio Control in LDM-based Talking-Head Generation](http://arxiv.org/abs/2506.01591v1) | CVPR 2025                                                    |                                                              |                                                              | Adversarial Defense, Privacy                                 |
| 2025 | [EchoMimicV2] [EchoMimicV2: Towards Striking, Simplified, and Semi-Body Human Animation](https://arxiv.org/abs/2411.10061) | CVPR 2025                                                    |                                                              |                                                              | Talking Body                                                 |
| 2025 | [Cocktail-Party AVSR] [Cocktail-Party Audio-Visual Speech Recognition](http://arxiv.org/abs/2506.02178v1) | Interspeech 2025                                             |                                                              |                                                              | Audio-Visual Speech Recognition                              |
| 2025 | [TalkingMachines] [TalkingMachines: Real-Time Audio-Driven FaceTime-Style Video via Autoregressive Diffusion Models](http://arxiv.org/abs/2506.03099v1) | Arxiv 2025                                                   |                                                              |                                                              | Real-Time, Autoregressive Diffusion                          |
| 2025 | [MMGT] [MMGT: Motion Mask Guided Two-Stage Network for Co-Speech Gesture Video Generation](http://arxiv.org/abs/2505.23120v1) | Arxiv 2025                                                   |                                                              |                                                              | Co-Speech Gesture, Two-Stage                                 |
| 2025 | [TalkingHeadBench] [TalkingHeadBench: A Multi-Modal Benchmark & Analysis of Talking-Head DeepFake Detection](http://arxiv.org/abs/2505.24866v1) | Arxiv 2025                                                   |                                                              |                                                              | DeepFake Detection, Benchmark                                |
| 2025 | [V2SFlow] [V2SFlow: Video-to-Speech Generation with Speech Decomposition and Rectified Flow](http://arxiv.org/abs/2411.19486v2) | ICASSP 2025                                                  |                                                              |                                                              | Video-to-Speech, Speech Decomposition                        |
| 2025 | [IM-Portrait] [IM-Portrait: Learning 3D-aware Video Diffusion for Photorealistic Talking Heads from Monocular Videos](http://arxiv.org/abs/2504.19165v1) | CVPR 2025                                                    |                                                              |                                                              | 3D-aware, Video Diffusion                                    |
| 2025 | [GAN-based Voice Conversion] [Generative Adversarial Network based Voice Conversion: Techniques, Challenges, and Recent Advancements](http://arxiv.org/abs/2504.19197v1) | Arxiv 2025                                                   |                                                              |                                                              | Voice Conversion, Survey                                     |
| 2025 | [HunyuanVideo-Avatar] [HunyuanVideo-Avatar: High-Fidelity Audio-Driven Human Animation for Multiple Characters](http://arxiv.org/abs/2505.20156v1) | Arxiv 2025                                                   |                                                              |                                                              | Multi-Character, Animation                                   |
| 2025 | [MultiTalk] [Let Them Talk: Audio-Driven Multi-Person Conversational Video Generation](http://arxiv.org/abs/2505.22647v1) | Arxiv 2025                                                   |                                                              |                                                              | Multi-Person, Conversational                                 |
| 2025 | [FaceEditTalker] [FaceEditTalker: Interactive Talking Head Generation with Facial Attribute Editing](http://arxiv.org/abs/2505.22141v1) | Arxiv 2025                                                   |                                                              |                                                              | Attribute Editing, Interactive                               |
| 2025 | [EdiDub] [Video Editing for Audio-Visual Dubbing](http://arxiv.org/abs/2505.23406v1) | Arxiv 2025                                                   |                                                              |                                                              | Video Editing, Dubbing                                       |
| 2025 | [Wav2Sem] [Wav2Sem: Plug-and-Play Audio Semantic Decoupling for 3D Speech-Driven Facial Animation](http://arxiv.org/abs/2505.23290v1) | CVPR 2025                                                    |                                                              |                                                              | 3D, Semantic Decoupling                                      |
| 2025 | [DualTalk] [Dual-Speaker Interaction for 3D Talking Head Conversations](http://arxiv.org/abs/2505.18096v1) | CVPR 2025                                                    |                                                              |                                                              | 3D, Interaction, Dual, FLAME                                 |
| 2025 | [AsynFusion] [AsynFusion: Towards Asynchronous Latent Consistency Models for Decoupled Whole-Body Audio-Driven Avatars](http://arxiv.org/abs/2505.15058v1) | Arxiv 2025                                                   |                                                              |                                                              | Whole-Body, Diffusion                                        |
| 2025 | [Supervising 3D Talking Head Avatars with Analysis-by-Audio-Synthesis](http://arxiv.org/abs/2504.13386v2) | Arxiv 2025                                                   |                                                              |                                                              | 3D, Diffusion                                                |
| 2025 | [Playmate] [Playmate: Flexible Control of Portrait Animation via 3D-Implicit Space Guided Diffusion](http://arxiv.org/abs/2502.07203v3) | Arxiv 2025                                                   |                                                              |                                                              | Diffusion, 3D                                                |
| 2025 | [M3G] [M3G: Multi-Granular Gesture Generator for Audio-Driven Full-Body Human Motion Synthesis](http://arxiv.org/abs/2505.08293v2) | NIPS 2025                                                    |                                                              |                                                              | Gesture, Full-Body, 3DGS                                     |
| 2025 | [VTutor] [VTutor: An Animated Pedagogical Agent SDK that Provide Real Time   Multi-Model Feedback](http://arxiv.org/abs/2505.06676v1) | Arxiv 2025                                                   |                                                              |                                                              | SDK, LLM, Real-time                                          |
| 2025 | [PAHA] [PAHA: Parts-Aware Audio-Driven Human Animation with Diffusion Model](http://arxiv.org/abs/2505.03603v4) | Arxiv 2025                                                   |                                                              |                                                              | Diffusion                                                    |
| 2025 | [OT-Talk] [OT-Talk: Animating 3D Talking Head with Optimal Transportation](http://arxiv.org/abs/2505.01932v2) | Arxiv 2025                                                   |                                                              |                                                              | FLAME, 3D                                                    |
| 2025 | [GenSync] [GenSync: A Generalized Talking Head Framework for Audio-driven Multi-Subject Lip-Sync using 3D Gaussian Splatting](http://arxiv.org/abs/2505.01928v1) | CVPRW 2025                                                   |                                                              |                                                              | 3DGS                                                         |
| 2025 | [Model See Model Do] [Model See Model Do: Speech-Driven Facial Animation with Style Control](http://arxiv.org/abs/2505.01319v1) | SIGGRAPH 2025                                                |                                                              |                                                              |                                                              |
| 2025 | [FlowDubber] [FlowDubber: Movie Dubbing with LLM-based Semantic-aware Learning and Flow Matching based Voice Enhancing](http://arxiv.org/abs/2505.01263v1) | Arxiv 2025                                                   |                                                              |                                                              | LLM, Qwen                                                    |
| 2025 | [KeySync] [KeySync: A Robust Approach for Leakage-free Lip Synchronization in High Resolution](http://arxiv.org/abs/2505.00497v1) | Arxiv 2025                                                   |                                                              |                                                              |                                                              |
| 2025 | [Ditto] [Ditto: Motion-Space Diffusion for Controllable Realtime Talking Head Synthesis](http://arxiv.org/abs/2411.19509v3) | Arxiv 2025                                                   |                                                              |                                                              | Diffusion                                                    |
| 2025 | [FREAK] [FREAK: Frequency-modulated High-fidelity and Real-time Audio-driven Talking Portrait Synthesis](http://arxiv.org/abs/2503.04067v2) | ICMR 2025                                                    |                                                              |                                                              |                                                              |
| 2025 | [MobilePortrait] [MobilePortrait: Real-Time One-Shot Neural Head Avatars on Mobile Devices](http://arxiv.org/abs/2407.05712v3) | CVPR 2025                                                    |                                                              |                                                              | 100+fps                                                      |
| 2025 | [ACTalk] [Audio-visual Controlled Video Diffusion with Masked Selective State Spaces Modeling for Natural Talking Head Generation](http://arxiv.org/abs/2504.02542v3) | Arxiv 2025                                                   |                                                              |                                                              |                                                              |
| 2025 | [FADA] [FADA: Fast Diffusion Avatar Synthesis with Mixed-Supervised Multi-CFG Distillation](http://arxiv.org/abs/2412.16915v2) | CVPR 2025                                                    |                                                              |                                                              | Fast Diffusion 12.5X speedup                                 |
| 2025 | [Loopy] [Loopy: Taming Audio-Driven Portrait Avatar with Long-Term Motion Dependency](http://arxiv.org/abs/2409.02634v3) | ICLR 2025 (Oral)                                             |                                                              |                                                              |                                                              |
| 2025 | [OmniTalker] [OmniTalker: Real-Time Text-Driven Talking Head Generation with In-Context Audio-Visual Style Replication](http://arxiv.org/abs/2504.02433v1) | Arxiv 2025                                                   |                                                              |                                                              | Omni                                                         |
| 2025 | [Follow Your Motion] [Follow Your Motion: A Generic Temporal Consistency Portrait Editing Framework with Trajectory Guidance](http://arxiv.org/abs/2503.22225v1) | Arxiv 2025                                                   |                                                              |                                                              |                                                              |
| 2025 | [Audio-driven Gesture Generation] [Audio-driven Gesture Generation via Deviation Feature in the Latent Space](http://arxiv.org/abs/2503.21616v1) | Arxiv 2025                                                   |                                                              |                                                              | Gesture                                                      |
| 2025 | [Perceptually Accurate 3D Talking Head] [Perceptually Accurate 3D Talking Head Generation: New Definitions, Speech-Mesh Representation, and Evaluation Metrics](http://arxiv.org/abs/2503.20308v3) | CVPR 2025                                                    |                                                              |                                                              |                                                              |
